@relation BILANCIAdataset400NUOVO-weka.filters.unsupervised.attribute.NominalToString-Cfirst

@attribute descr string
@attribute Puzzle numeric
@attribute Adventure numeric
@attribute Action numeric
@attribute RPG numeric
@attribute Simulation numeric
@attribute Strategy numeric
@attribute Shooter numeric
@attribute Sports numeric
@attribute Racing numeric
@attribute Educational numeric
@attribute Fighting numeric
@attribute BoardGames numeric

@data
' samurai shodown iii fight game releas snk sequel samurai shodown fill rage gaug well block attack mid air player charact style choos slash bust way battl great expand aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,1,0,0,0,0,0,0,0,1,0
' king fighter fight game releas snk featur numer improv kof kof also introduc new activ striker system player enjoy excit striker base battl strategi plenti nostalg charact snk univers appear anoth striker aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,1,0,0,0,0,0,0,0,1,0
' last blade fight game releas snk four god aim seal hell gate etern dead aim stop middl intens battl varieti system introduc charact individu sword qualiti abil repel turn back enemi attack desper move super desper move well abil cancel enemi move sequenc desper move known super cancel aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,1,0,0,0,0,0,0,0,1,0
' world hero jet fight game releas snk third titl world hero seri sixteen hero villain fighter gather determin strongest world dash back step addit counter system enjoy speedi battl aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,1,0,0,0,0,0,0,0,1,0
' world hero fight game releas snk player abl take part epic battl histor figur hanzo hattori jeann player enjoy numer battl strategi via simpl deep game system featur mechan throw back projectil bounc back aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,1,0,0,0,0,0,0,0,1,0
' entri game maker toolkit game jam control wasd move mous aim left mous button attack right mous button roll pickup weapon ',0,0,1,0,0,0,0,0,0,0,1,0
' hyperact platform beat made solo develop game take inspir mani titl super smash bros combat remov limit speed experi simpl input move jump dash attack incred versatil applic game built anyon enjoy nuanc fastest technic player get kick put shoe neon synthezoid creat fight divid robot world synthezoid android control other wield power far greater robot human world either control robot therefor societi territori simpli outcast left fend next technolog conflict neon answer next conflict neon fast make dash superson speed cardin direct twice doubl tap button make sure attack faster attack twice dot familiar fight game take understand frame data throw window game let cancel virtual everyth everyth make combo hit run hit move unleash barrag punch like anim refer teleport behind enemi end charg attack preset combo rememb wait anim finish hit get hit win regardless playstyl actual land attack though mayb wait occasion disclaim play game fastest potenti may make impati play mechan similar game ',0,0,1,0,0,0,0,0,0,0,1,0
' aeon must die turn beat genr head introduc breakneck risk reward gameplay innov tactic fight favor brain reflex rpg align system track behav warrior chang challeng stori accord ruthless grim color world look feel like ridicul action pack anim vhs tape parent heavili disapprov violent journey disgrac symbiot emperor fuel blood amnesiac hole head sentient hoverbik ',0,0,1,1,0,0,0,0,0,0,1,0
' air fire player enter symbiosi either element air fire air doubl jump fire shoot fire ball choos wise need proceed level fight boss end control movespac jump usea shift dashleft mous enter sword shoot team maximilian zenz markus kohl ',0,1,0,0,0,0,0,0,0,0,1,0
' design steampunk pixel airship function modul conquer sky game ship view side modul oper individu crew member combat player give high level command small fleet posit ship ram board other ship terrain fulli destruct catch fire explod break apart fall player also compet one anoth internet lan match ship high detail teem sailor move around individu task like ant farm cut away draw player choic ship layout crucial import part game explor design space differ airship match tactic ',0,0,1,0,0,1,0,0,0,0,1,0
' amorph top beat arcad style game sever differ kind enemi drop sever differ kind power goal game get highest score possibl player run live featur strategi discov use slime trap slime decoy lure foe doom emerg behavior discov one way heal origin graphic asset origin audio asset customiz score card compar score see various data regard play shot gameplay session last minut intens short burst play note pleas upload score card found exe directori everi game comment section data would immens help gather inform play session better polish balanc near futur pleas leav comment critic idea anyth everyth particular leav critic idea polish balanc current enemi type futur enemi type current power type futur power game mode etc ',0,0,1,0,0,0,0,0,0,0,1,0
' ancient sweet dream theme game liar idea game player use lie fight also play lie art style inspir ancient egypt paint control movement mous left click attack lie player lie fighter distract attack boss essenti decreas health boss fight alon game creat girl friend design programm artist secondari design feel free comment get feedback fun ice melon studio ',0,0,1,0,0,0,0,0,0,0,1,0
' anima gate memori third person action rpg tell stori two bound unwil pact legendari monster girl lost past forc stay togeth exist take unexpect turn discov involv someth sinist war shadow involuntari lead role gate memori featur uniqu dual system allow control two differ charact interchang dynam middl action creat countless combin featur deep stori choic action influenc journey decid destini charact combat system combin rpg element fast pace action addit hardwar requir remot play player minimum save size dualshock remot play softwar subject licens playstat com softwarelicens onlin activ subject term servic user agreement www playstationnetwork com term servic one time licens fee play account design primari system system sign account anima gate memori anima project carlo garcia publish badland game develop anima project right reserv ',0,1,1,1,0,0,0,0,0,0,1,0
' uniqu battl system wide select characterist angel girl appear steam first time arcana heart love max discov new meta gameplan play basic battl mechan perform arcana combo press correct button sequenc home action arcana burst advanc spectacular extend forc arcana eclips arcana blaze dozen way decim oppon find mechan game playabl angel free select arcana equip uniqu charact arcana choic explor boundless amount strategi deriv plenti stori everi charact main stori well special stori hotspr fulli voic japanes addit charact extra short stori non voic give chanc understand charact ever dive world arcana heart simpli fight short stori mode stori mode surviv score attack mode trial mode time attack mode versus mode train mode replay theatr mode etc etc mani also galleri mode unlock event illustr link anim view angel short stori onlin network capabl player task test prowess onlin via rank match player match mode player save battl result score onlin compar score player leaderboard show world angel ahem angel world special purchas bonus discov angel charm point page fill link anim draft collect come purchas feel exhaust heati battl open collect refresh place steam folder steam steamapp common arcana heart love max digit extra ',0,0,1,0,0,0,0,0,0,0,1,0
' descript archer defend watchtow enemi archer destroy tower destroy gameplay charg shot increas speed arrow stun enemi archer hit projectil gain time make fall tower random select power appear battl use increas damag output cannon bar full charg power cannon shot devast enemi tower charg cannon abl shoot get hit arrow though featur singl player play quick match along player multiplay total player connect requir increas proport higher number player tutori quick tutori explain basic simpl mechan game server setup inform play server alway play red archer red team lan multiplay support advanc play internet configur port forward router frame buffer size help optim onlin gameplay perform valu configur accord connect qualiti also slight increas extra player exampl frame buffer size ping player player player credit audio asset powerup powerup powerdown eric matya www soundimag org draw bow back sound draw bow fire mike koenig arrow damag bragoon bow erdi fuse cannon fire explos partner rhyme singl arrow robinhood sourc code ',0,0,1,0,0,0,0,0,0,0,1,0
' arcus chroma fantasi fight game similar gameplay style hyper hitbox previous game game built around juggl combo system fast pace combat game still develop everyth work proper yet current featur versus mode player cpu train modeofflin pvp playabl charact plane featur futur updat free charactersmor stagesmor color palett arcad modemor train mode optionswritten stori lore opportun rise ill add onlin multiplay follow twitter gxgrainson ',0,0,1,0,0,0,0,0,0,0,1,0
' singl player xbox live multiplay local multiplay high definit defin legaci young arkadian warrior defeat evil gorgon soldier archer sorceress return land arkadia back peopl unlock full game refund item inform see www xbox com live account ',0,0,1,1,0,0,0,0,0,0,1,0
' hit gym pump iron buddi get swole domin gym smash bros style brawl local multiplay nonsens player fulli featur charact customis featur voic talent arnold schwarzenegg zero approv copyright music abound pleas sue requir least control play creat one week part corporatejam credit darci sandal cyrian guillaum winston tang ',0,0,1,0,0,0,0,0,0,0,1,0
' earli access power monk call arkon get trap human realm void purpos fight order stay midworld fight armi unseen entiti get stronger avoid swallow whirlpool beneath soon greater enemi new power music discord ',0,0,1,0,0,0,0,0,0,0,1,0
' armor core portabl extrem mech action game come psp new featur game player build mech hundr part choos hoc wireless play allow player easili engag multiplay battl fromsoftwar inc right reserv purchas use item subject playstat network term servic user agreement wish accept term purchas use item item sublicens soni comput entertain america one time licens fee download portabl system associ purchas account ',0,0,1,0,0,0,0,0,0,0,1,0
' armor core silent line portabl player build mecha mecha part choos includ popular part previous game seri tri complet various mission hoc function allow player play game togeth control customiz train featur back well moreov game data instal reduc load time game save armor core portabl carri game everyth enhanc compar portabl origin version game fromsoftwar inc right reserv purchas use item subject playstat network term servic user agreement wish accept term purchas use item item sublicens soni comput entertain america one time licens fee download portabl system associ purchas account ',0,0,1,0,0,0,0,0,0,0,1,0
' defeat enemi warrior spear sling bow arrow becom legendari master destroy evil enemi enemi kill hit head also aim wildcard get support attack show everyon real hero warrior avail archer spearman slinger ',0,0,1,0,0,0,0,0,0,0,1,0
' arrrg friend made bore work two player pirat ship fight run command line also singl player mode fight bot name rob lone game ascii art color multipl playabl ship uniqu strategi playstyl music sound effect command line import need powershel instal play game window fine play game right click pirat select run powershel powershel might ask want chang execut polici essenti allow custom script run trust alway look includ sourc code see virus two window fit screen well right click say window powershel top left window select properti font tab bring font size would recommend chang text window font size window notic linux version game somewhat beta state gameplay element ascii art sound effect interest flesh linux build pleas let know comment email address contact question concern bug report mediumcharliegam gmail com ',0,0,1,0,0,1,0,0,0,0,1,0
' welcom attack tank attack tank tank battl surviv game start full health game roam thew citi indic tank guid posit enemi tank featur competit fun crazi challeng cool graphic awesom gameplay control tank movement arrow arrow left arrow right arrow cannon movement button shoot credit music track use cleyton kauffman hit harder trevor lentz coloss boss battl theme matthew pablo www matthewpablo com ',0,0,1,0,0,0,0,0,0,0,1,0
' onlin interact rate esrb game support english french german download manual game locat game select see game manual long ago four nation live togeth harmoni everyth chang fire nation attack avatar master four element could stop world need vanish hundr year pass new avatar discov airbend name aang although airbend skill great lot learn readi save anyon aang learn waterbend must master remain element earth fire time run race aang master element sozin comet pass earth increas strength fire nation turn unconquer forc great battl victori fire nation northern water tribe team find fli toward great earth kingdom hope aang find master earthbend teach refund item inform see www xbox com live account ',0,0,1,0,0,0,0,0,0,0,1,0
' journey exot locat fill adventur help aang fulfil destini master bend art becom avatar avatar stop ruthless might fire nation defeat hord bizarr enemi perform nobl deed quest save world blue spirit fire nation hot trail aang race save friend mysteri warrior appear aang friend foe sieg north fend admir zhao assault northern water tribe master arctic water aang must unleash power avatar ultim battl surviv troubl kyoshi villag defeat boar coon air blast seek refug kyoshi escap clutch princ zuko unrel quest captur avatar king omashu challeng use skill smart overcom king challeng includ duel hog monkey master air shield scar world fire earth warrior past rest spirit land heal journey spirit world learn stop awesom furi spirit guardian showdown crescent lsle aang must overcom peril volcan island discov true quest avatar roku first aang must face princ zuko bend duel age ',0,0,1,0,0,0,0,0,0,0,1,0
' back stabber fan game inspir windjamm game made data east recent dotemu tri arcad neo geo playstat switch awesom first want abl play windjamm mobil friend pretti much solo local multiplayereasi learn hard master gameplay uniqu charact uniqu mapsmultipl challeng game modestot freeyou even remov non intrus freethi app care sell data love general basi youtubefacebooktwitt ',0,0,0,0,0,0,0,1,0,0,1,0
' game demand version support english french italian german spanish dutch swedish download manual game locat game select see game manual first time ever ultim monster come life ultim brawl bakugan defend core seiz real time control tower bakugan unleash furi action pack battl thrill action game merg fight stealth adventur gameplay one awesom experi control skyscrap size bakugan quest save world citi evil spectra vexo armi fate humankind hand ',0,0,1,0,0,0,0,0,0,0,1,0
' game demand version support english french italian german spanish dutch swedish bakugan battl brawler stun new video game base toy anim seri set gate card throw bakugan huge interact battlefield steer bakugan discov secret area collect power gain edg two bakugan stand gate card transform power creatur epic interact battl begin need skill boost bakugan power emerg victori play stori mode unlock dozen bakugan new level excit adventur voic origin cartoon cast jump straight battl brawler ',0,0,1,0,0,0,0,0,0,0,1,0
' banshe sati femal cyborg reactiv complet task start robot soldier henshin sati destroy kali armi sati achiev goal use martial art skill perform gymnast routin modifi bodi power disguis sentri robot collect special weapon even game conceiv fight platform one way complet level control simpl sati action done use wasd key focus much possibl playabl also tri recreat freedom sharp design enjoy ',0,0,1,0,0,0,0,0,0,0,1,0
' battl fantasia fight game set world sword sorceri design system easi learn difficult master battl fantasia fun casual expert gamer twenti four storylin brought life incred graphic twelv fulli voic charact softwar subject licens playstat com softwarelicens onlin activ subject term servic user agreement www playstationnetwork com term servic arc system work ltd publish distribut aksi game permiss arc system work ',0,1,1,0,0,0,0,0,0,0,1,0
' one oldest game made game mod classic player mode mode enjoy question send zompi dev gmail com ',0,0,0,0,0,0,0,0,0,0,1,0
' fight game mega drive sega genesi differ charact blue cyclop green cyclop punk ala ursa capacet tcheco redondo mangang homuncullus devwil tcheco marcelo barbosa capacet pedro paiva redondo homuncullus paulo amawek villalva ',0,0,0,0,0,0,0,0,0,0,1,0
' basic mini fight level beat white ninja part collect anaglyph game ',0,0,0,0,0,0,0,0,0,0,1,0
' play chelsea make way street fill late night urg fight strang creatur block path collect various item bring joy control move attack hit combo strong attack item menu paus enter restart esc ',0,0,0,0,0,0,0,0,0,0,1,0
' art fight fight game releas snk twelv fighter compet crown strongest one king fighter ultim fight championship new mechan revamp rage guag addit weak strong attack land recoveri mechan mean battl even intens previous titl aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' art fight fight game releas snk ryo sakazaki robert garcia fight numer enemi free yuri sakazaki kidnap mysteri person game known ambiti titl via introduct spirit gaug represent charact damag receiv enemi aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' fatal furi fight game releas snk new stori begin citi south town five new charact join total hungri wolv readi battl featur new element oversway combin art mechan readi epic intens fight aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game remot play requir vita system suffici robust connect player dualshock remot play softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account snk corpor right reserv arcad archiv seri produc hamster ',0,0,0,0,0,0,0,0,0,0,1,0
' fatal furi fight game releas snk player take part brutal street fight varieti locat goal toppl infam crime lord gees howard game includ uniqu featur compar fight game avail time includ special line battl system allow player travers foreground background player function aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game addit hardwar requir remot play player dualshock remot play softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account snk corpor right reserv arcad archiv seri produc hamster ',0,0,0,0,0,0,0,0,0,0,1,0
' garou mark wolv fight game releas snk son gees howard rock howard rais terri bogard main charact first episod new generat fatal furi seri numer new game mechan break featur introduc acclaim fight masterpiec result game varieti deep strategi avail player aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game remot play requir vita system suffici robust connect player dualshock remot play softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account snk corpor right reserv arcad archiv seri produc hamster titl base mvs neogeo arcad version may differ version version home neogeo consol home consol ',0,0,0,0,0,0,0,0,0,0,1,0
' real bout fatal furi fight game releas snk titl fatal furi seri new element top refin previous system entri add rick strowd xiangfei playabl charact gees howard make return well aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' real bout fatal furi special fight game releas snk introduc brand new line battl system refin power gaug system abolish ring system battl tactic system improv along wolfgang krauser total combat appear aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' samurai shodown fight game releas snk warrior respect goalsspecul challeng amakusa return life plan conquer modern world attack use anger gaug lead unexpect outcom make battl even intens aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' samurai shodown fight game releas snk yoshitora tokugawa mina majikina join cast twenti four warrior new system avail includ sword gaug concentr one even sword swing action aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' samurai shodown fight game origin releas snk game featur swordmast uniqu person battl among take shiro tokisada amakusa game climax one uniqu characterist game rage gaug fill player take damag gaug full charact attack damag keep battl tens excit aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game addit hardwar requir remot play player dualshock remot play softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account snk corpor right reserv arcad archiv seri produc hamster ',0,0,0,0,0,0,0,0,0,0,1,0
' savag reign fight game releas snk first half centuri great fighter gather compet king lion battl beast god howl fist fli weapon complet new style fight game util innov line system achiev victori vicious fight aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' king fighter fight game releas snk third entri king fighter nest collect reach conclus last tournament charact total battl varieti fight style make team fighter new tactic order select system aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game titl base mvs neogeo arcad version may differ version version home neogeo consol home consol ',0,0,0,0,0,0,0,0,0,0,1,0
' king fighter fight game releas snk entri kof seri tame striker system replac creat team comeback battl mode easier use max activ system add depth experi gameplay aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' king fighter fight game releas snk addit charact popular work fatal furi art fight sequel titl previous work kof yagamian particip rival main charact kyo kusanagi team edit function instal becam possibl form team player favorit charact aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' king fighter fight game releas snk total playabl charact avail new game mechan emerg evas short mid hop make entri first time legendari seri new depth fight stori focus second chapter orochi trilog aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game remot play requir vita system suffici robust connect player dualshock remot play softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account snk corpor right reserv arcad archiv seri produc hamster ',0,0,0,0,0,0,0,0,0,0,1,0
' king fighter fight game releas snk featur popular charact fatal furi art fight fighter battl determin strongest advanc extra mode gameplay offer even deeper level tactic aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game remot play requir vita system suffici robust connect player dualshock remot play softwar subject licens playstat com softwarelicens onlin featur requir account subject term servic applic privaci polici playstationnetwork com term servic playstationnetwork com privaci polici one time licens fee play account design primari system system sign account snk corpor right reserv arcad archiv seri produc hamster ',0,0,0,0,0,0,0,0,0,0,1,0
' king fighter fight game releas snk previous instal kof stori orochi saga reach excit conclus result next entri seri king fighter releas dream match version king fighter seri one popular well known version game partial thank mani balanc chang receiv high prais fan around world aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' last blade fight game releas snk set japan edo period roster uniqu swordsmen choos themat game similar samurai shodown seri also featur wealth innov system set apart one system abil choos power speed style select charact power system focus high damag speed system focus intric combo speed game also featur uniqu hajiki abil allow player deflect repel attack game also allow player cancel super attack desper move anoth strateg element game final game featur wealth flashi attack thank inclus super secret skill super desper move aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' super spi action game releas snk punch kick use gun fight terrorist make way build rescu captiv defeat enemi earn experi use role play game like featur level aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' world hero perfect fight game releas snk charact base histor figur battl decid strongest new element hero gaug extra attack guard attack version lead excit match aca neogeo seri faith reproduc mani classic neogeo masterpiec player chang various game set game difficulti also reproduc atmospher arcad display set time player also compet world high score pleas enjoy masterpiec built generat video game ',0,0,0,0,0,0,0,0,0,0,1,0
' intens adrenalin fuel rampag fast pace action pack beatum lower health get larger hitbox damag becom well get boost movement attack speed beat enemi take damag score tri surviv long possibl damag higher end badg result earn point gold immers berserk caus rampag uniqu art style watch environment hazard game support mous keyboard well gamepad input control mous keyboard wasd movement left click attack control gamepad left joystick movement altern map button attack credit justic shultz programmertravi fisk artistcamden cecrl artistfr snyder musiccharl thiollier music built seattl indi game jam built within less day ',0,0,0,0,0,0,0,0,0,0,1,0
' sacrific friend god agartha ritual stun throw pit send heaven devour god old develop global game jam ritual theme cours day role game designaudioart requir control player length minut engin uniti ',0,0,0,0,0,0,0,0,0,0,1,0
